goods_no,카테고리,brand,name,sale_price,건성적합,지성적합,저자극,진정효과,보습효과,미백효과,리뷰수,출처
A000000260329,에센스_세럼_엠플,페이보릿,페이보릿 수분조 세럼 30ml,35100,47.15,5.4,75.17,20.57,72.41,12.21,22,예측
A000000261044,에센스_세럼_엠플,더후,[NEW] 더후 비첩 자생 NAD 파워 앰풀 30ml/50ml 옵션 택 1,99600,44.55,4.18,76.19,14.42,52.0,31.07,0,예측
A000000261626,에센스_세럼_엠플,메디테라피,메디테라피 히알루론산 스킨부스터 퍼스트 세럼 150ml,23900,35.19,13.06,72.28,41.2,54.66,13.18,2,예측
B000000187882,에센스_세럼_엠플,센텔리안24,센텔리안24 우유피부 글루타치온 토닝 부스팅 앰플 (업체배송),43000,35.71,10.97,66.48,31.93,42.96,26.02,17,예측
B000000187885,에센스_세럼_엠플,센텔리안24,센텔리안24 히알루론산 톡스 부스팅 앰플 (업체배송),43000,45.33,8.43,81.59,28.16,59.48,5.37,5,예측
B000000187886,에센스_세럼_엠플,센텔리안24,센텔리안24 연어 PDRN 퍼밍 부스팅 앰플 (업체배송),43000,42.12,8.35,76.82,29.79,57.46,18.77,18,예측
B000000191866,에센스_세럼_엠플,센텔리안24,센텔리안24 부스팅 샷 젤 150ml (업체배송),30000,40.63,7.6,76.38,18.98,52.36,29.95,13,예측
A000000255324,에센스_세럼_엠플,아누아,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획 (+피디알엔 마스크 1매),27900,53.0,4.0,75.0,26.0,71.0,2.0,21892,실측
A000000203876,에센스_세럼_엠플,디마르3,[1등 모공앰플] 디마르3 시그니처 에스투드 프로텍터 모공 앰플 30ml,35000,32.0,9.0,65.0,29.0,48.0,23.0,1864,실측
A000000258298,에센스_세럼_엠플,토리든,[NEW] 토리든 다이브인 저분자 히알루론산 세럼 50ml,16500,51.0,8.0,82.0,24.0,76.0,0.0,79,실측
A000000226086,에센스_세럼_엠플,바이오더마,바이오더마 하이드라비오 에센스로션 200ml 기획(+안개분사 미스트 증정),28100,41.0,10.0,70.0,24.0,75.0,1.0,20466,실측
A000000250344,에센스_세럼_엠플,아이오페,[자극도ZERO]아이오페 레티놀 슈퍼 바운스 세럼 20ml 기획 (+15ml),27900,29.0,11.0,57.0,25.0,23.0,51.0,10288,실측
A000000219082,에센스_세럼_엠플,리얼베리어,[모공축소] 리얼베리어 레티니올 모공 타이트닝 세럼 30ml 기획 (+10ml),26000,24.0,14.0,72.0,24.0,27.0,49.0,223,실측
A000000231078,에센스_세럼_엠플,성분에디터,[포켓몬 에디션/잡티미백]성분에디터 머루포도 비타씨 다크 스팟 앰플 40ml 더블기획*,22900,34.0,11.0,69.0,28.0,36.0,36.0,933,실측
A000000251173,에센스_세럼_엠플,디어클레어스,[리락쿠마 콜라보/3분진정] 클레어스 블루 유스 액티베이팅 드롭 20ml 기획 (+리락쿠마 블루 장바구니),19920,21.0,22.0,67.0,80.0,18.0,2.0,2451,실측
A000000166511,에센스_세럼_엠플,파넬,[1등 진정세럼] 파넬 시카마누 92세럼30ml,19900,31.0,11.0,72.0,76.0,23.0,1.0,8774,실측
A000000210681,에센스_세럼_엠플,닥터지,[미백세럼/스피큘] 닥터지 RTX 인투세럼 비타민샷 2주 프로그램,15200,26.0,14.0,11.0,14.0,18.0,68.0,97,실측
A000000259223,에센스_세럼_엠플,더마팩토리,더마팩토리 나이아신아마이드 20% 세럼 80ml (한글에디션),14000,19.0,23.0,48.0,33.0,15.0,52.0,14253,실측
A000000186864,에센스_세럼_엠플,디오디너리,[브라이트닝] 디오디너리 100% L-아스코빅 애시드 파우더 20g,10000,26.0,17.0,29.0,17.0,19.0,65.0,281,실측
A000000115496,에센스_세럼_엠플,달팡,달팡 하이드라스킨 세럼 30ml,45540,42.0,2.0,82.0,26.0,74.0,0.0,58,실측
A000000130949,에센스_세럼_엠플,센텔리안24,[광채보습] 센텔리안24 마데카 마이크로 스타톡 세럼 50ml,29000,58.0,2.0,66.0,20.0,63.0,17.0,237,실측
A000000139561,에센스_세럼_엠플,스킨푸드,[끝판꿀광+트러블개선] 스킨푸드 로열허니 프로폴리스 인리치 에센스,22400,58.0,3.0,77.0,16.0,82.0,2.0,611,실측
A000000141033,에센스_세럼_엠플,허브노트,허브노트 스네일 리페어 앰플 45ml,28000,31.69,17.39,73.05,47.49,32.67,24.79,19,예측
A000000141306,에센스_세럼_엠플,디오디너리,[각질쓱싹] 디오디너리 만델릭 애시드 10% + HA 30ml,11800,17.0,45.0,39.0,36.0,26.0,39.0,166,실측
A000000141324,에센스_세럼_엠플,디오디너리,[브라이트닝] 디오디너리 아스코빌 테트라이소팔미테이트 솔루션 20% 인 비타민 F 30ml,31100,48.0,11.0,51.0,15.0,41.0,44.0,113,실측
A000000141710,에센스_세럼_엠플,다룸,DR다룸 릴리프 앰플 50ml,22800,42.0,10.0,91.0,35.0,62.0,2.0,737,실측
A000000149959,에센스_세럼_엠플,디오디너리,[차세대레티놀] 디오디너리 그랜액티브 레티노이드 5% 인 스쿠알란 30ml,25400,48.0,13.0,42.0,14.0,30.0,57.0,181,실측
