goods_no,카테고리,brand,name,sale_price,건성적합,지성적합,저자극,진정효과,보습효과,미백효과,리뷰수,출처
A000000222834,로션,에스트라,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),23900,47.0,5.0,78.0,25.0,75.0,0.0,12464,실측
A000000228228,로션,아이디얼포맨,[7년 연속 1위] 아이디얼포맨 퍼펙트 올인원 150ml 단품/기획,16800,28.0,9.0,62.0,33.0,61.0,6.0,19521,실측
A000000161508,로션,라운드랩,[대용량] 라운드랩 1025 독도 로션 400ml,25600,31.0,11.0,75.0,33.0,66.0,1.0,16463,실측
A000000117541,로션,우르오스,[베스트 올인원]우르오스 올인원 200ml 2종 택 1,23200,21.0,10.0,62.0,32.0,67.0,1.0,7818,실측
A000000243499,로션,온그리디언츠,[1등 속광로션/단독기획] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),39900,52.0,6.0,85.0,16.0,82.0,2.0,8585,실측
A000000251468,로션,피지오겔,피지오겔 DMT 페이셜 로션 200ml 기획 (+토너 50ml),20900,45.0,5.0,78.0,24.0,75.0,1.0,6109,실측
A000000006565,로션,우르오스,우르오스 올인원 스킨밀크 200ml,23200,35.0,6.0,63.0,30.0,69.0,1.0,5989,실측
A000000230522,로션,토리든,[단독기획] 토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 더블 기획,29900,33.0,13.0,72.0,33.0,66.0,1.0,3748,실측
A000000248426,로션,아누아,[NEW/리뉴얼] 아누아 어성초 77 히알루론산 수분 진정 로션 200ml,21900,20.0,13.0,73.0,57.0,42.0,1.0,333,실측
A000000250632,로션,제로이드,제로이드 인텐시브 로션 160ml 기획 (+크림 토너 25ml),28800,45.0,5.0,73.0,41.0,58.0,1.0,2417,실측
A000000258468,로션,온그리디언츠,[NEW] 온그리디언츠 바쿠글로우 캡슐 로션 150ml,28000,42.0,13.0,88.0,26.0,70.0,4.0,3069,실측
A000000223781,로션,닥터지,[트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 (단품/증정 기획),24000,26.0,15.0,70.0,56.0,43.0,1.0,4385,실측
A000000198321,로션,에스트라,에스트라 아토베리어365 로션 150ml,23900,50.0,4.0,78.0,25.0,75.0,0.0,2191,실측
A000000250298,로션,아이디얼포맨,아이디얼포맨 프레시 올인원 150ml 단품/1+1 기획,14800,25.0,25.0,62.0,46.0,51.0,2.0,2280,실측
A000000163494,로션,라운드랩,[수분진정] 라운드랩 포 맨 자작나무 수분 로션 200ml,17100,30.0,16.0,73.0,35.0,65.0,1.0,3512,실측
A000000137488,로션,비오템,비오템옴므 아쿠아파워 올인원 50ml 트래블 기획/200ml,21000,26.0,14.0,62.0,38.0,58.0,3.0,1140,실측
A000000198539,로션,닥터지,[속보습/수분로션] 닥터지 더모이스처 배리어 D 로션 300ml 기획 (+멀티밤 1g),22020,39.0,10.0,75.0,29.0,70.0,1.0,3787,실측
A000000184697,로션,아이오페,[10년 연속 1위] 아이오페 맨 올데이 퍼펙트 올인원 120ml 기획 (+30ml),28500,28.0,8.0,57.0,32.0,58.0,9.0,5021,실측
A000000209904,로션,제로이드,제로이드 수딩 로션 160ml,30000,26.0,21.0,77.0,41.0,58.0,1.0,1941,실측
A000000006564,로션,우르오스,우르오스 올인원 스킨로션 200ml,23200,20.0,21.0,62.0,37.0,61.0,2.0,3498,실측
A000000228952,로션,토리든,토리든 밸런스풀 포맨 시카 프레쉬 올인원 200g 기획(+밸런스풀 올인원 20g),19900,22.0,29.0,68.0,62.0,36.0,2.0,1784,실측
A000000210719,로션,아이디얼포맨,[1+1한정기획/보습템]아이디얼포맨 퍼펙트 보습 올인원 단품/1+1기획(내용물/성분 동일),16800,39.0,7.0,61.0,29.0,70.0,2.0,1928,실측
A000000236543,로션,VT,[모공/피지케어]VT 리들샷 포맨 올인원 100 엠플러스 150ml 단품/기획,23000,28.0,17.0,50.0,28.0,47.0,25.0,6182,실측
A000000223483,로션,피지오겔,피지오겔 아쿠아 포맨 오일컷 올인원 100ml (단품/기획),24900,22.0,31.0,69.0,43.0,55.0,3.0,1416,실측
A000000235496,로션,크리니크,크리니크 노란에센스로션&젤 125ml (피부타입별 선택),49300,37.0,8.0,60.0,38.0,61.0,1.0,782,실측
A000000183229,로션,라운드랩,[민감피부/저자극] 라운드랩 포 맨 1025 독도 올인원 플루이드 200ml+200ml,31500,29.0,13.0,67.0,42.0,58.0,0.0,3513,실측
A000000237493,로션,코스노리,[리뷰이벤트/장벽로션] 코스노리 판테놀 베리어 에멀전 150ml,18000,43.0,7.0,87.0,22.0,75.0,3.0,2127,실측
A000000145576,로션,라운드랩,[저자극] 라운드랩 1025 독도 로션 200ml 기획 (+50ml),18000,28.0,12.0,75.0,39.0,60.0,1.0,6900,실측
A000000199154,로션,라운드랩,[민감진정/화해1위] 라운드랩 포 맨 소나무 진정 시카 로션 200ml,17600,19.0,30.0,69.0,67.0,32.0,1.0,4574,실측
A000000170690,로션,유세린,[미백잡티] 유세린 이븐래디언스 모이스처라이저 50ml,30400,42.0,5.0,71.0,24.0,57.0,19.0,554,실측
A000000242173,로션,아이오페,[맨PDRN]아이오페 XMD 클리니컬 리커버리 올인원 포맨 기획 120g(+30g),29400,30.0,9.0,68.0,25.0,59.0,16.0,484,실측
A000000155994,로션,포맨트,포맨트 시그니처 올인원 에센스 96ml,28900,33.0,8.0,59.0,26.0,55.0,19.0,480,실측
A000000223427,로션,달바,[미백/잡티케어] 달바 비타 토닝 세럼 로션 100ml,33600,41.0,7.0,67.0,22.0,54.0,24.0,143,실측
A000000197739,로션,라운드랩,[지성피부/유분케어] 라운드랩 포 맨 1025 독도 올인원 젤로션 200ml+200ml,31500,17.0,37.0,72.0,44.0,55.0,1.0,2434,실측
A000000234380,로션,브링그린,[화해1위] 브링그린 블루빈 B5-PDRN 마일드 로션 230ml (+블루빈크림 7ml),21000,49.0,13.0,86.0,12.0,87.0,0.0,1149,실측
A000000185235,로션,닥터지,[지성/증정 기획] 닥터지 레드 블레미쉬 포 맨 올인원 오일컷 로션 150ml (150+30 기획/150 단품),20300,15.0,43.0,68.0,53.0,46.0,1.0,2700,실측
A000000219845,로션,메이크프렘,[쿨링진정]메이크프렘 인테카 포맨 수딩 올인원 200ml (기획/단품),19900,26.0,16.0,81.0,47.0,52.0,1.0,542,실측
A000000259898,로션,우르오스,우르오스 올인원 스킨브리지로션 120ml,19900,18.73,21.93,57.12,42.16,60.65,0.0,16,예측
B000000234131,로션,헤라,[단독기프트/업체배송] 헤라 옴므 올인원 스킨 하이드로 트리트먼트 150ml 단품/기획,38400,26.97,13.15,60.3,25.85,64.37,12.0,19,예측
A000000206692,로션,토리든,토리든 다이브인 포맨 저분자 히알루론산 젤 로션 200ml,17600,26.0,20.0,69.0,40.0,60.0,0.0,445,실측
A000000232217,로션,식물나라,[화잘먹로션] 식물나라 뽀얀쌀 맑은톤 로션 300ml,10800,32.31,15.68,71.63,38.63,52.11,12.16,3504,예측
A000000203247,로션,바이오힐보,[탄력에멀전] 바이오힐보 프로바이오덤 3D 리프팅 에멀전 150ml,23000,51.0,3.0,67.0,23.0,63.0,14.0,1098,실측
A000000207111,로션,토리든,토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+올인원 20g),19200,30.0,16.0,72.0,32.0,67.0,1.0,4012,실측
A000000230537,로션,오브제,[미피 랜덤파우치 증정] 오브제 포어 제로 프레쉬 올인원 150ml 단품/기획,20900,24.0,30.0,72.0,40.0,56.0,4.0,956,실측
A000000222769,로션,아이디얼포맨,[프레시/시카] 아이디얼포맨 올인원 2종 단품/기획,11800,24.0,34.0,68.0,48.0,50.0,2.0,1167,실측
A000000207459,로션,닥터지,[올인원+클렌징폼] 닥터지 레드 블레미쉬 포 맨 진정올인원+클렌징폼 2종 기획 세트,29900,27.0,13.0,68.0,50.0,49.0,1.0,3002,실측
A000000244690,로션,키엘,[NEW] 키엘 훼이셜 퓨얼 인비고레이팅 모이스춰 트리트먼트 포 맨(75ml/125ml),52200,21.89,14.43,70.49,27.99,45.8,24.04,5,예측
A000000257652,로션,오휘,오휘 더 퍼스트 제너츄어 포맨 모이스처라이저 110ml,60350,32.93,11.3,72.93,17.04,62.71,18.66,0,예측
A000000199270,로션,아이오페,아이오페 맨 프로 레티놀 올인원 120ml 기획 (+30ml),28500,29.0,8.0,60.0,28.0,48.0,24.0,1561,실측
A000000129771,로션,피지오겔,피지오겔 레드수딩 AI 진정보습 로션 200ml,25900,41.0,8.0,81.0,38.0,61.0,1.0,3922,실측
A000000140891,로션,미프,미프 리페어 앤 리프팅,25900,26.0,12.0,91.0,55.0,33.0,12.0,334,실측
A000000183744,로션,한율,[시카보다 4배*강한] 한율 어린쑥 수분진정 플루이드 125ml,25600,25.0,16.0,74.0,65.0,35.0,1.0,2046,실측
A000000223196,로션,아이디얼포맨,[맨즈1등 올인원] 아이디얼포맨 프레시/시카/선 올인원 (단품/기획),14800,24.0,20.0,59.0,49.0,43.0,7.0,3123,실측
A000000149211,로션,AHC,[수분탄력] AHC 온리포맨 올인원 에센스 더블 기획 (120ml+120ml),24900,32.0,7.0,61.0,34.0,62.0,4.0,1492,실측
A000000149214,로션,AHC,[산뜻보송] AHC 온리포맨 포어 프레쉬 올인원에센스 더블 기획 (120ml+120ml),24900,19.0,22.0,61.0,49.0,48.0,3.0,696,실측
A000000252600,로션,바이오힐보,[화잘먹프렙] 바이오힐보 판테셀 리페어시카 수분 로션 100mL,16000,35.0,9.0,69.0,49.0,51.0,0.0,95,실측
A000000198090,로션,닥터자르트,[72시간보습로션] 닥터자르트 세라마이딘 스킨 베리어 모이스처라이징 밀키 로션 50ml,50000,47.0,6.0,73.0,29.0,67.0,4.0,315,실측
A000000230762,로션,이니스프리,[올인원] 이니스프리 포레스트포맨 올인원 에센스 100ml 기획(+에센스 25ml+폼30g),21750,21.0,19.0,71.0,45.0,47.0,8.0,440,실측
A000000015971,로션,우르오스,우르오스 올인원 스킨컨디셔너 60g,20000,27.0,10.0,65.0,34.0,61.0,4.0,955,실측
A000000199665,로션,리얼베리어,리얼베리어 익스트림 로션 150ml 기획 (+50ml),19500,39.0,10.0,73.0,30.0,69.0,1.0,2555,실측
A000000248847,로션,비레디,[포켓몬 에디션]비레디 오일캡처 올인원 로션 기획(+피카츄 스트레스볼),19400,17.0,46.0,76.0,35.0,60.0,5.0,1781,실측
A000000167411,로션,헤라,헤라 옴므 올인원 스킨 하이드로 트리트먼트 150ML,38400,23.0,7.0,54.0,35.0,64.0,1.0,271,실측
A000000212251,로션,오브제,오브제 포어 제로 오일 컨트롤 로션 70ml,17800,16.0,53.0,76.0,43.0,49.0,8.0,1143,실측
A000000242745,로션,빌리프,빌리프 프라블럼 솔루션 비건 모이스춰라이저 100ml,36960,28.45,13.99,63.02,39.22,59.76,0.36,19,예측
A000000201011,로션,식물나라,[화잘먹로션] 식물나라 뽀얀쌀 맑은톤 로션 300ml,10800,42.0,8.0,73.0,21.0,60.0,19.0,2799,실측
A000000161777,로션,우르오스,[단독특가] 우르오스 지복합성 페이셜케어 기획세트(스킨로션200ml+페이스워시100g),34320,29.0,11.0,74.0,49.0,49.0,3.0,4143,실측
A000000245710,로션,디오디너리,[산뜻보습] 디오디너리 라이스 리피즈 + 엑토인 마이크로에멀전 120ml,34200,38.28,11.18,75.2,27.34,72.1,0.0,22,예측
A000000205392,로션,피지오겔,피지오겔 시카밸런스 포맨 카밍 플루이드 100ml (단품/기획),29900,28.0,22.0,63.0,52.0,47.0,1.0,2019,실측
A000000209419,로션,제로이드,제로이드 인텐시브 로션 160ml,28800,44.0,6.0,79.0,32.0,68.0,1.0,1159,실측
A000000261627,로션,메디테라피,메디테라피 스쿠알란 스킨부스터 모이스처라이저 150ml,24900,28.42,17.07,72.48,31.97,61.34,7.0,0,예측
A000000257083,로션,그라펜,"[개기름,모공개선]그라펜 포어올킬 클린로션 95ml(호박스 공동개발)",24000,56.0,23.0,97.0,5.0,92.0,3.0,39,실측
A000000223673,로션,미닉,[7초진정/수분쿨링] 미닉 퍼펙트 콜라드 그린 진정 올인원 200ml,23500,22.0,38.0,68.0,65.0,34.0,1.0,77,실측
A000000195679,로션,아이소이,[개기름/속피지] 아이소이 포맨 아크니 닥터 올인원 100ml 기획 (+진정 올인원 15ml),23100,16.0,33.0,72.0,60.0,38.0,2.0,635,실측
A000000244246,로션,오브제,[덱스PICK/1등올인원] 오브제 모이스처 프로틴 올인원 150ml(단품/기획),21900,53.0,9.0,96.0,8.0,90.0,2.0,377,실측
A000000150816,로션,아크네스,[산뜻촉촉] 아크네스 모이스처 플루이드 150ml,9900,12.0,29.0,68.0,66.0,33.0,1.0,525,실측
A000000184789,로션,라운드랩,[민감진정] 라운드랩 소나무 진정 시카 로션 250ml,21200,19.0,28.0,77.0,70.0,30.0,0.0,500,실측
A000000247595,로션,오브제,[덱스PICK/1등올인원] 오브제 올인원 3종 (보습/모공/브라이트닝),20900,31.0,23.0,62.0,40.0,58.0,2.0,1639,실측
A000000203992,로션,라끄베르,라끄베르 옴므 리차지 올인원 에센스 150ml 1+1 기획,19900,24.0,9.0,63.0,34.0,61.0,6.0,3843,실측
A000000145835,로션,플리프,플리프 시카-알로에 카밍 올인원 로션 200ml (트러블 피부용),18800,20.0,29.0,68.0,69.0,31.0,0.0,118,실측
A000000216470,로션,마몽드,[보습장벽] 마몽드 프로바이오틱스 세라마이드 에멀젼 150ml,18750,42.0,5.0,70.0,27.0,70.0,3.0,197,실측
A000000228955,로션,토리든,[NEW] 토리든 밸런스풀 포맨 시카 오일프리 로션 200ml,18400,17.0,39.0,57.0,62.0,35.0,3.0,106,실측
A000000223266,로션,비플레인,[산뜻촉촉]비플레인 시카테롤 올인원 200ml 기획/단품 2종 택1,18000,26.0,21.0,73.0,51.0,48.0,1.0,98,실측
A000000121268,로션,싸이닉,싸이닉 더 심플 데일리 로션 145ml,7900,22.0,22.0,82.0,43.0,56.0,1.0,2593,실측
A000000183230,로션,라운드랩,[건성피부/보습케어] 라운드랩 포 맨 1025 독도 올인원 플루이드 200ml,17000,30.0,12.0,73.0,37.0,63.0,1.0,3513,실측
A000000197722,로션,라운드랩,[지성피부/유분케어] 라운드랩 포 맨 1025 독도 올인원 젤로션 200ml,17000,16.0,43.0,78.0,41.0,58.0,1.0,2434,실측
A000000222773,로션,아이디얼포맨,[7년 연속 1위] 아이디얼포맨 퍼펙트 올인원 150ml 단품/기획,16800,25.0,6.0,59.0,34.0,61.0,5.0,17155,실측
A000000248724,로션,듀이트리,[모공피지순삭/수분진정] 듀이트리 AC 딥 맨즈 카밍 포어 올인원 200ml 기획 (+20ml),16500,21.0,32.0,71.0,54.0,42.0,4.0,270,실측
A000000203855,로션,비욘드,[유수분밸런스] 비욘드 엔젤아쿠아 보습 장벽 로션 200ml,16060,38.0,4.0,74.0,25.0,74.0,1.0,669,실측
A000000174384,로션,포엘리에,[수분/탄력] 포엘리에 옴므 5 IN 1 미백 주름 기능성 올인원 남자 로션 150ml,15900,35.0,11.0,82.0,15.0,73.0,12.0,253,실측
A000000208897,로션,아이디얼포맨,아이디얼 포 맨 퍼펙트 탄력 로션 150mL,15900,28.0,9.0,52.0,37.0,54.0,9.0,760,실측
A000000103320,로션,코스알엑스,코스알엑스 오일-프리 울트라 모이스쳐라이징 로션 100ml,15200,18.0,28.0,68.0,43.0,55.0,1.0,344,실측
A000000255383,로션,더샘,[여름화잘먹/프렙로션] 더샘 스킨 프렙 밸런싱 밀크 로션 155ml,14900,33.0,13.0,77.0,17.0,81.0,2.0,654,실측
A000000225943,로션,아이디얼포맨,[개기름박멸]아이디얼포맨 프레시 올인원 150ml 단품/기획,11800,17.0,37.0,62.0,47.0,50.0,3.0,2945,실측
A000000141317,로션,디오디너리,[보습크림] 디오디너리 내추럴 모이스처라이징 팩터스 + HA 30ml,10200,49.0,15.0,69.0,19.0,69.0,12.0,223,실측
A000000247042,로션,온그리디언츠,온그리디언츠 스킨 베리어 카밍 로션 이엑스 스틱포 4ml*5ea,3800,49.0,5.0,64.0,27.0,72.0,1.0,154,실측
A000000011086,로션,엠도씨,엠도씨 화이트닝 스킨 플러스 로션 150ml,18400,22.0,10.0,61.0,33.0,46.0,21.0,544,실측
A000000104173,로션,크리니크,크리니크 노란에센스로션 125ml,49300,58.0,3.0,76.0,16.0,82.0,1.0,1156,실측
A000000104176,로션,크리니크,크리니크 노란에센스젤 125ml,49300,17.0,29.0,67.0,37.0,61.0,2.0,1179,실측
A000000104972,로션,크리니크,크리니크 포 맨 모이스춰라이징 로션 100ml,55250,44.86,7.03,66.17,29.33,70.56,0.35,17,예측
A000000115386,로션,크리니크,크리니크 드라마티컬리 디퍼런트 하이드레이팅 젤리 125ml,49300,35.0,21.0,81.0,34.0,60.0,6.0,48,실측
A000000137470,로션,바르테라,바르테라 올인원 젤 모이스춰라이저,22400,9.0,31.0,81.0,25.0,59.0,16.0,31,실측
A000000137652,로션,라네즈,[촉촉로션] 라네즈옴므 액티브워터 모이스처라이저 125ml,18900,30.0,9.0,55.0,34.0,63.0,2.0,457,실측
A000000141309,로션,디오디너리,[보습크림] 디오디너리 내추럴 모이스처라이징 팩터스 + HA 100ml,19000,31.0,20.0,65.0,24.0,70.0,6.0,286,실측
A000000142618,로션,크리니크,크리니크 포맨 맥시멈 하이드레이터 72-아워 오토-리플레니싱 하이드레이터,41650,16.0,33.0,67.0,18.0,80.0,2.0,49,실측
A000000143196,로션,라네즈,[탄력로션] 라네즈옴므 블루에너지 에센스인로션 125ml,22400,29.0,9.0,53.0,30.0,66.0,4.0,516,실측
A000000144041,로션,폴라초이스,폴라초이스 스킨 발란싱 수분 젤 60ml,46400,5.0,46.0,59.0,62.0,31.0,8.0,40,실측
A000000144618,로션,라끄베르,라끄베르 옴므 리차지 시카 올인원 에센스 150ml 기획 (+30ml 증정),19900,21.0,11.0,56.0,50.0,44.0,5.0,639,실측
A000000144917,로션,하다라보,[쫀쫀고보습에멀전] 하다라보 고쿠쥰 밀크 140mL,17000,52.0,5.0,74.0,17.0,81.0,1.0,864,실측
A000000146263,로션,하다라보,[8종히알루론산] 하다라보 고쿠쥰 프리미엄 밀크 140mL,14000,63.0,1.0,79.0,13.0,86.0,1.0,279,실측
A000000146808,로션,싸이닉,싸이닉 파워 옴므 플루이드 더블 기획 (150ml+150ml),17800,24.0,20.0,61.0,37.0,54.0,9.0,102,실측
A000000146894,로션,싸이닉,싸이닉 아쿠아 옴므 올인원 플루이드 100ml,11200,23.97,21.61,66.73,37.42,40.43,29.36,21,예측
A000000146896,로션,싸이닉,싸이닉 아쿠아 옴므 올인원 모이스처라이저 100ml,11200,26.09,16.37,75.89,27.86,57.86,12.06,19,예측
A000000147661,로션,AHC,AHC 온리 포맨 로션 150ml,25000,33.0,8.0,60.0,33.0,64.0,3.0,366,실측
A000000150214,로션,아크네스,[폼클렌저 150g증정] 아크네스포맨퍼펙트올인원 기획(본품 200ml+폼클렌저 150g),19900,13.0,25.0,54.0,66.0,31.0,3.0,443,실측
A000000152286,로션,마녀공장,마녀공장 비피다 바이옴 앰플 로션 300ml,19900,33.0,6.0,66.0,28.0,64.0,8.0,232,실측
A000000154199,로션,비알티씨,BRTC 파워 옴므 올인원 솔루션 더블 기획(200mlX2),46080,19.0,17.0,63.0,37.0,58.0,5.0,2325,실측
A000000154626,로션,달팡,달팡 인트랄 액티브 스태빌라이징 로션 100ml,59260,22.27,20.26,64.07,48.48,62.44,1.22,10,예측
A000000155995,로션,포맨트,포맨트 시그니처 올인원 에센스 모이스처 플러스 150ml,23200,33.0,5.0,63.0,27.0,67.0,6.0,326,실측
A000000158113,로션,랩시리즈,랩시리즈 올-인-원 훼이스 트리트먼트 50ml,49000,16.0,13.0,40.0,46.0,53.0,1.0,71,실측
A000000161776,로션,우르오스,[단독기획] 우르오스 중건성 페이셜케어 기획세트(스킨밀크200ml+페이스워시100g),34320,39.0,7.0,65.0,30.0,69.0,1.0,5953,실측
A000000161778,로션,우르오스,[단독특가] 우르오스 페이셜케어 기획세트 중건성&지복합성 2종 택1,34320,15.0,25.0,59.0,48.0,48.0,3.0,17772,실측
A000000162054,로션,라네즈,[보습장벽] 라네즈 워터뱅크 블루히알루로닉 에멀젼(중건성) 120ml,28800,56.0,1.0,72.0,26.0,72.0,1.0,66,실측
A000000165551,로션,라끄베르,라끄베르 옴므 리차지 올인원 에센스 150ml 기획 (+30ml 증정),19900,25.0,6.0,56.0,42.0,54.0,4.0,6555,실측
A000000166427,로션,랩시리즈,랩시리즈 올인원 디펜스 로션 SPF35 PA++++ 50ml,58000,32.0,13.0,76.0,29.0,58.0,13.0,66,실측
A000000166474,로션,크리니크,크리니크 포맨 오일-프리 모이스춰라이저 100ml,55250,21.96,25.13,61.35,48.02,51.45,3.43,4,예측
A000000166822,로션,아크네스,[피지저격/진정케어] 아크네스 포맨 퍼펙트 올인원 크림 200ml,28000,21.0,12.0,60.0,47.0,50.0,3.0,356,실측
A000000169182,로션,피지오겔,피지오겔 DMT 포맨 플루이드 100ml (단품/기획),35000,31.0,10.0,65.0,39.0,60.0,1.0,382,실측
A000000170034,로션,라네즈,라네즈옴므 크림스킨 옴므 올인원 150ml 기획 (+25+25ml),19600,34.0,9.0,63.0,30.0,68.0,2.0,1360,실측
A000000173672,로션,미프,미프 비타맥스 올인원 로션 리필 세트 기획 (본품 200ml+리필 150ml*2ea),34900,23.0,10.0,67.0,28.0,54.0,19.0,697,실측
A000000174576,로션,크리니크,크리니크 드라마티컬리 디퍼런트 모이스춰라이징 로션 30ml,11050,54.0,6.0,67.0,23.0,75.0,2.0,234,실측
A000000174709,로션,일소,[수분급속충전] 일소 데일리 모이스처 소프트닝 로션 150ml,22000,36.0,25.0,86.0,20.0,80.0,0.0,44,실측
A000000175964,로션,비알티씨,BRTC 파워 옴므 올인원 솔루션 200ml 기획(+50ml 증정),25600,29.0,7.0,80.0,27.0,69.0,4.0,2667,실측
A000000176059,로션,크리니크,크리니크 포 맨 안티 에이지 모이스춰라이저 100ml,67150,37.82,8.24,70.81,31.22,64.2,10.53,5,예측
A000000179257,로션,센텔리안24,[진정/속보습] 센텔리안24 마데카 데일리 리페어 에센스로션 100ml,21000,40.0,9.0,72.0,37.0,60.0,3.0,284,실측
A000000180934,로션,레이지소사이어티,레이지소사이어티 시카 애프터쉐이브 로션 100ml,14900,23.0,13.0,74.0,58.0,42.0,0.0,31,실측
A000000180935,로션,레이지소사이어티,레이지소사이어티 올인원 페이스 솔루션 150ml,15900,27.14,21.63,70.76,33.97,54.69,6.42,27,예측
A000000184664,로션,아이오페,아이오페 맨 안티에이징 에멀젼EX 120ml,25200,37.0,8.0,65.0,25.0,66.0,9.0,359,실측
A000000185157,로션,라끄베르,라끄베르 옴므 리차지 시카 에멀전 180ml,12000,34.0,7.0,53.0,45.0,48.0,7.0,116,실측
A000000186860,로션,퓨어덤,퓨어덤 옴므 아쿠아 하이드로 올인원 크림 더블 기획(200ml+200ml),15900,23.0,14.0,86.0,23.0,72.0,6.0,1265,실측
A000000188948,로션,한율,한율 빨간쌀 보습탄력 에멀젼 125ml,36500,49.0,3.0,72.0,24.0,68.0,8.0,485,실측
A000000189589,로션,헤라,헤라 하이드로 리플렉팅 플루이드 140ml,46400,18.0,0.0,59.0,54.0,46.0,0.0,39,실측
A000000195699,로션,아이소이,[보습/건성] 아이소이 포맨 모이스춰 닥터 올인원 100ml 기획 (+보습 올인원 15ml),23100,42.0,6.0,66.0,34.0,66.0,0.0,269,실측
A000000198947,로션,아이소이,[톤업/민감성] 아이소이 포맨 블레미쉬 케어 올인원 100ml 기획 (+잡티 올인원 15ml),36000,27.0,15.0,62.0,30.0,47.0,23.0,224,실측
A000000199825,로션,랩시리즈,랩시리즈 데일리 레스큐 페이스 로션 50ml,81000,25.0,10.0,74.0,33.0,59.0,8.0,319,실측
A000000200886,로션,비욘드,비욘드 엔젤아쿠아 포맨 올인원 에센스 더블기획 (200mlX2입)(비건),17500,29.0,17.0,65.0,35.0,63.0,2.0,621,실측
A000000203440,로션,오브제,오브제 모이스처 올인원 로션 200ml,16900,55.0,7.0,93.0,5.0,95.0,0.0,44,실측
A000000204649,로션,더후,더후 공진향 탄력 에멀젼 110ml,66900,36.03,2.5,65.14,11.13,64.82,14.3,7,예측
A000000204881,로션,AHC,AHC 콜라 쥬비네이션 리프트4 트리트먼트 에멀젼 100ml,30000,44.0,6.0,88.0,12.0,62.0,26.0,129,실측
A000000206008,로션,아이오페,아이오페 맨 올데이 퍼펙트 톤업 올인원 120ml 기획(+30ml),28500,22.0,10.0,51.0,36.0,26.0,37.0,233,실측
A000000208029,로션,포엘리에,[여드름/진정케어] 포엘리에 옴므 병풀잎수 66.86% 시카 로션 145ml,15900,24.0,18.0,90.0,52.0,46.0,2.0,90,실측
A000000208721,로션,스콧해미쉬,스콧해미쉬 블루 블렌디드 로션 에센스 180ml,38500,25.0,25.0,75.0,25.0,38.0,38.0,68,실측
A000000208724,로션,리쥬란,[오리지널 c-PDRN 부스팅]리쥬란 리커버 힐러 부스팅 젤 200ml,42000,31.68,23.73,71.02,38.36,55.13,3.74,23,예측
A000000209714,로션,더페이스샵,더페이스샵 더젠틀포맨 올인원 에센스 135ml,18900,30.21,10.64,62.48,32.11,56.21,2.36,5,예측
A000000210473,로션,더샘,더샘 에코 에너지 올인원 2종 택 1,16100,62.0,0.0,76.0,20.0,80.0,0.0,45,실측
A000000210666,로션,비오템,비오템옴므 아쿠아파워 올인원 스틱 세트 (+올인원 20ml),30660,37.0,10.0,59.0,35.0,61.0,4.0,55,실측
A000000210922,로션,더페이스샵,더페이스샵 네오클래식 옴므 블랙 에센셜 올인원 트리트먼트 110ml,19600,27.45,14.03,56.67,30.28,58.92,13.06,13,예측
A000000211493,로션,설화수,설화수 맨 본윤유액 90ml,46800,37.4,8.12,70.75,17.11,66.87,13.77,10,예측
A000000211930,로션,LBB,[100시간 수분보습]LBB 올 데이 케어 인 로션 50ml,54400,43.0,4.0,91.0,11.0,85.0,4.0,46,실측
A000000213387,로션,더마라인,더마라인 디렉소 PDRN 솔루션 액티빙 에멀전 200ml,38900,48.0,12.0,88.0,21.0,55.0,24.0,33,실측
A000000213951,로션,연작,연작 카밍 앤 컴포팅 에멀전 125ml,42750,27.59,19.24,71.53,50.11,54.76,0.64,18,예측
A000000214170,로션,키엘,키엘 울트라 훼이셜 베리어 스틱 밤,31390,56.0,6.0,73.0,17.0,81.0,2.0,225,실측
A000000214176,로션,키엘,키엘 울트라 훼이셜 모이스춰라이저 125ml,45050,38.55,6.62,66.54,22.31,69.29,11.88,10,예측
A000000214459,로션,엠도씨,엠도씨 안티 링클 스킨 플러스 로션 150ml 단품/기획 2종 택1,25000,24.0,13.0,68.0,32.0,53.0,16.0,96,실측
A000000215009,로션,비오템,아쿠아파워 어드밴스드 젤 PRO 100ml,78200,36.0,4.0,70.0,24.0,74.0,1.0,74,실측
A000000219100,로션,차앤박옴므,[수분진정] 차앤박 옴므랩 올인원 아쿠아 코어-업 125ml,21700,33.0,7.0,67.0,42.0,57.0,1.0,101,실측
A000000219101,로션,차앤박옴므,[피지/모공케어] 차앤박 옴므랩 올인원 오일컷 퍼펙트 125ml,21700,26.0,29.0,70.0,43.0,56.0,2.0,178,실측
A000000219102,로션,차앤박옴므,[탄력장벽] 차앤박 옴므랩 올인원 프로폴리스 에너지 프로틴샷 125ml,23900,32.3,11.2,71.4,37.61,54.53,12.13,17,예측
A000000221831,로션,설화수,설화수 자음유액EX 125ml,70200,51.0,0.0,83.0,12.0,81.0,7.0,69,실측
A000000222740,로션,마몽드,마몽드 맨 리차징 로션 150ml,16000,34.71,8.39,66.88,23.02,64.21,5.55,23,예측
