성분코드,성분명,영문명,CAS,구명칭,배합목적
3971,푸마릭애씨드,Fumaric Acid,"110-17-8
6315-18-0",,착향제;pH 조정제
3967,퐁감올,Pongamol,484-33-3,퐁가몰,착향제
3966,폴스산달우드씨오일,Ximenia Americana Seed Oil,95193-67-2,,착향제
3932,독일가문비잎오일,Picea Abies Leaf Oil,,,착향제
3863,폴리솔베이트85,Polysorbate 85,9005-70-3,폴리소르베이트85,착향제;계면활성제(유화제)
3862,폴리솔베이트81,Polysorbate 81,9005-65-6(generic),폴리소르베이트81,착향제;계면활성제(유화제)
3861,폴리솔베이트80,Polysorbate 80,9005-65-6(generic),폴리소르베이트80,착향제;계면활성제(유화제);계면활성제(용해보조제)
3859,폴리솔베이트61,Polysorbate 61,9005-67-8(generic),폴리소르베이트61,착향제;계면활성제(유화제)
3858,폴리솔베이트60,Polysorbate 60,9005-67-8(generic),폴리소르베이트60,착향제;계면활성제(유화제);계면활성제(용해보조제)
3856,폴리솔베이트21,Polysorbate 21,9005-64-5(generic),폴리소르베이트21,착향제;계면활성제(유화제)
3855,폴리솔베이트20,Polysorbate 20,9005-64-5(generic),폴리소르베이트20,착향제;계면활성제(유화제);계면활성제(용해보조제)
3843,도데센,Dodecene,112-41-4,,착향제;점도감소제;용제
3710,데칸알,Decanal,112-31-2,,착향제
3663,포스포릭애씨드,Phosphoric Acid,7664-38-2,,착향제;pH 조정제
3639,편백수,Chamaecyparis Obtusa Water,91745-97-0,,착향제
3578,페네틸알코올,Phenethyl Alcohol,60-12-8,페네칠알코올,착향제
3559,팔미틱애씨드,Palmitic Acid,57-10-3,,착향제;계면활성제(유화제);계면활성제(세정제);불투명화제
3514,디나토늄벤조에이트,Denatonium Benzoate,3734-33-6,데나토늄벤조에이트,착향제
3473,파네솔,Farnesol,4602-84-0,,착향제
3407,트라이칼슘포스페이트,Tricalcium Phosphate,7758-87-4,트리칼슘포스페이트,착향제;연마제
3386,트라이에탄올아민,Triethanolamine,102-71-6,트리에탄올아민,착향제;계면활성제(유화제);pH 조정제
3382,대왕소나무오일,Pinus Palustris Oil,8002-09-3,대왕송오일,착향제
3381,트라이에틸시트레이트,Triethyl Citrate,77-93-0,트리에칠시트레이트,착향제;가소제
3378,트라이아세틴,Triacetin,102-76-1,트리아세틴,착향제;용제;가소제
3371,유럽개암씨오일,Corylus Avellana (Hazelnut) Seed Oil,,개암씨오일,착향제
3356,트라이메틸하이드록시펜틸아이소부티레이트,Trimethyl Hydroxypentyl Isobutyrate,25265-77-4,트리메칠하이드록시펜틸이소부티레이트,착향제;용제;가소제
3317,트로메타민,Tromethamine,77-86-1,,착향제;pH 조정제
3312,트래거캔스검,Astragalus Gummifer Gum,9000-65-1,트래거캔스고무,착향제;유화안정제;점도증가제(수성);피막형성제;결합제;점착제
3304,통카콩열매추출물,Dipteryx Odorata Bean Extract,90028-06-1,통가콩추출물,착향제
3234,타타릭애씨드,Tartaric Acid,"133-37-9 (DL-)
147-71-7 (D-)
87-69-4 (L-)",,착향제;pH 조정제
3231,타이로신,Tyrosine,"556-02-5 (D-)
556-03-6 (DL-)
60-18-4 (L-)",,착향제;모발컨디셔닝제
3202,클로브싹오일,Eugenia Caryophyllus (Clove) Bud Oil,,,착향제
3185,당근수,Daucus Carota Sativa (Carrot) Root Water,,,착향제
3184,클레리오일,Salvia Sclarea (Clary) Oil,8016-63-5,클라리오일,착향제
3151,울금뿌리추출물,Curcuma Longa (Turmeric) Root Extract,84775-52-0,심황뿌리추출물,착향제
3132,쿠마린,Coumarin,91-64-5,,착향제
3129,담배잎추출물,Nicotiana Tabacum (Tobacco) Leaf Extract,84961-66-0,,착향제
3075,박하추출물,Mentha Haplocalix Extract,,콘민트추출물,착향제;감미제
3072,발삼코파이바수지,Copaifera Officinalis (Balsam Copaiba) Resin,"9000-12-8
8001-61-4",코파이바발삼레진,착향제;피막형성제
3045,코코넛워터,Cocos Nucifera (Coconut) Liquid Endosperm,,코코넛수,착향제
3018,라미나리아 클로우스토니추출물,Laminaria Cloustoni Extract,"90046-11-0
92128-82-0",켈프추출물,착향제
3016,케토글루타릭애씨드,Ketoglutaric Acid,328-50-7,,착향제;pH 조정제
3009,커피콩오일,Coffea Arabica (Coffee) Seed Oil,,커피오일,착향제;감미제
2986,오르메니스 물티카울리스오일,Ormenis Multicaulis Oil,,캐모마일오일,착향제
2982,마트리카리아꽃수,Chamomilla Recutita (Matricaria) Flower Water,,캐모마일꽃수,착향제
2979,캐롭검,Ceratonia Siliqua (Carob) Gum,9000-40-2,캐럽콩검,착향제;유화안정제;점도증가제(수성);결합제;점착제
2933,다마스크장미추출물,Rosa Damascena Extract,90106-38-0,,착향제
