성분코드,성분명,영문명,CAS,구명칭,배합목적
24901,트라이(에스에이치-폴리펩타이드-165),Tri (sh-Polypeptide-165),,,피부컨디셔닝제(기타)
24898,아로마덴드린,Aromadendrin,480-20-6,,피부컨디셔닝제(기타);산화방지제
24897,양파수,,,,피부컨디셔닝제(기타)
24896,쑥부쟁이잎/줄기수,,,,피부컨디셔닝제(기타)
24895,소듐하이알루로닐살리실레이트,Sodium Hyaluronyl Salicylate,3104488-95-8,,피부컨디셔닝제(기타)
24894,담팔수캘러스세포외소포,Elaeocarpus Sylvestris Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24893,가시여지캘러스세포외소포,Annona Muricata Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24892,바쿠치일니코티네이트,Bakuchiyl Nicotinate,,,피부컨디셔닝제(기타)
24891,포도주초,,,,피부컨디셔닝제(기타)
24890,에스-트라이페닐메틸에프엠오씨-시스테인,S-Triphenylmethyl FMOC-Cysteine,,,피부컨디셔닝제(기타);헤어컨디셔닝제
24889,펜타메틸다이하이드로벤조퓨란설포닐에프엠오씨-알지닌,Pentamethyldihydrobenzofuransulfonyl FMOC-Arginine,,,피부컨디셔닝제(기타);헤어컨디셔닝제
24888,익모초수,,,,피부컨디셔닝제(기타)
24886,락토바실러스/블루베리열매즙발효여과물,Lactobacillus/Blueberry Fruit Juice Ferment Filtrate,,,피부컨디셔닝제(기타);산화방지제
24885,슈단즈,Pseudanes,,,피부컨디셔닝제(기타)
24883,기계충버섯균사체발효여과물,Irpex Lacteus Mycelium Ferment Filtrate,,,피부컨디셔닝제(기타)
24881,5-클로로-2-제라닐레조시놀,,,,피부컨디셔닝제(기타)
24880,쑥국화꽃/잎/줄기추출물,Tanacetum Vulgare Flower/Leaf/Stem Extract,,,피부컨디셔닝제(기타);피부보호제;산화방지제
24879,락토바실러스/쌀배아발효추출물,,,,피부컨디셔닝제(기타)
24878,트라이파로테닐카프릴레이트,Trifarotenyl Caprylate,,,피부컨디셔닝제(기타)
24877,흑미소포,,,,피부컨디셔닝제(기타)
24876,쌀소포,,,,피부컨디셔닝제(기타)
24875,람노오스아세타마이드,Rhamnose Acetamide,,,피부컨디셔닝제(기타)
24874,카복시메틸람노사이드,Carboxymethyl Rhamnoside,,,피부컨디셔닝제(기타)
24873,도라지싹추출물,,,,피부컨디셔닝제(기타)
24872,락토바실러스/클로렐라 불가리스가루발효추출여과물,Lactobacillus/Chlorella Vulgaris Powder Ferment Extract Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24870,비스-(우르소디옥시콜릴)아스코빌옥시에틸트라이아졸릴메틸스퍼미딘하이드로클로라이드,,,,피부컨디셔닝제(기타)
24869,비스-(디옥시콜라미도프로필)아미노메틸트라이아졸릴에틸트라넥사메이트하이드로클로라이드,,,,피부컨디셔닝제(기타)
24868,락토-N-네오테트라오스,Lacto-N-neotetraose,13007-32-4,,피부컨디셔닝제(기타)
24866,철갑상어정소추출물,,,,피부컨디셔닝제(기타)
24865,올리고펩타이드-133트라이펩타이드-44펜타펩타이드-68,Oligopeptide-133 Tripeptide-44 Pentapeptide-68,,,피부컨디셔닝제(기타)
24864,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트올리고펩타이드-133,Dipeptide Diaminobutyroyl Benzylamide Diacetate Oligopeptide-133,,,피부컨디셔닝제(기타)
24863,칼슘/마그네슘/징크하이드록시아파타이트,Calcium/Magnesium/Zinc Hydroxyapatite,,,피부컨디셔닝제(기타)
24860,담즙산,Bile Acids,,,피부컨디셔닝제(기타);피부보호제;계면활성제(유화제)
24859,자이언트켈프수,Macrocystis Pyrifera (Kelp) Water,,,피부컨디셔닝제(기타);용제
24858,노니열매수,Morinda Citrifolia Fruit Water,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);보습제
24854,신선초캘러스세포외소포,Angelica Keiskei Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24853,양까막까치밥나무캘러스세포외소포,Ribes Nigrum (Black Currant) Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24852,페닐락틱애씨드,Phenyllactic Acid,,,피부컨디셔닝제(기타);보존제
24851,화살나무잎/줄기수,,,,피부컨디셔닝제(기타)
24849,스타르메렐라 봄비콜라/로즈힙씨오일발효오일,Starmerella Bombicola/Rosa Canina Seed Oil Ferment Oil,,,피부컨디셔닝제(기타)
24848,데이노코쿠스발효용해여과물,Deinococcus Ferment Lysate Filtrate,,,피부컨디셔닝제(기타);산화방지제
24847,헥사펩타이드-139,Hexapeptide-139,,,피부컨디셔닝제(기타)
24846,헥사펩타이드-138,Hexapeptide-138,,,피부컨디셔닝제(기타)
24845,헥사펩타이드-137,Hexapeptide-137,,,피부컨디셔닝제(기타)
24844,헥사펩타이드-136,Hexapeptide-136,,,피부컨디셔닝제(기타)
24843,아랄리아다이올,Araliadiol,3096071-48-3,,피부컨디셔닝제(기타);산화방지제;헤어컨디셔닝제
24842,아세틸테트라(트라이펩타이드-29)다이펩타이드-73하이드록시프롤린트라이펩타이드-122테트라(트라이펩타이드-29),Acetyl Tetra (Tripeptide-29) Dipeptide-73 Hydroxyproline Tripeptide-122 Tetra (Tripeptide-29),,,피부컨디셔닝제(기타)
24841,황금흰목이자실체추출물,,,,피부컨디셔닝제(기타)
24839,에스에이치-폴리펩타이드-174,sh-Polypeptide-174,,,피부컨디셔닝제(기타)
24837,아세틸다이펩타이드-84에스-거미올리고펩타이드-2아마이드,Acetyl Dipeptide-84 s-Spider Oligopeptide-2 Amide,,,피부컨디셔닝제(기타)
24836,클로렐라 불가리스세포외소포,Chlorella Vulgaris Extracellular Vesicles,,,피부컨디셔닝제(기타)
24834,연꽃캘러스소포,Nelumbo Nucifera Callus Vesicles,,,피부컨디셔닝제(기타)
24833,당유자껍질오일,Citrus Maxima Peel Oil,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제
24832,리모늄 플렉수오숨소포,Limonium Flexuosum Vesicles,,,피부컨디셔닝제(기타)
24830,드럼스틱캘러스세포외소포,Moringa Oleifera Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24829,매실나무열매박추출물,Prunus Mume Pomace Extract,,,피부컨디셔닝제(기타)
24828,서양배박추출물,Pyrus Communis (Pear) Pomace Extract,,,피부컨디셔닝제(기타)
24827,돌기해삼몸체세포외소포,,,,피부컨디셔닝제(기타)
24826,바실러스/락토바실러스/모나스커스병풀발효추출여과물,,,,피부컨디셔닝제(기타)
24825,밀리타리스동충하초발효여과물,Cordyceps Militaris Ferment Filtrate,,,피부컨디셔닝제(기타)
24822,붉가시나무열매수,,,,피부컨디셔닝제(기타)
24821,비누풀캘러스추출물,Saponaria Officinalis Callus Extract,84775-97-3,,피부컨디셔닝제(기타)
24820,아욱열매추출물,Malva Verticillata Fruit Extract,2771399-55-2,,피부컨디셔닝제(기타)
24819,라우릴/아이소옥틸/옥틸도데실/다이프로필렌글라이콜시트레이트코폴리머,Lauryl/Isooctyl/Octyldodecyl/Dipropylene Glycol Citrate Copolymer,,,피부컨디셔닝제(기타);피부컨디셔닝제(수분차단제);피막형성제;미끄럼조정제/활택제
24818,스타퓔로코쿠스 에피데르미디스,Staphylococcus Epidermidis,,,피부컨디셔닝제(기타)
24813,꽃범의꼬리잎/줄기추출물,Physostegia Virginiana Leaf/Stem Extract,,,피부컨디셔닝제(기타);계면활성제(세정제)
24812,쿠르쿠마 카이시아뿌리추출물,Curcuma Caesia Root Extract,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부보호제;헤어컨디셔닝제
24811,니코티아나 벤타미아나알-(다이펩타이드-98에스-스트렙토코쿠스속폴리펩타이드-1에스에이치-폴리펩타이드-96올리고펩타이드-313에스에이치올리고펩타이드-4테트라펩타이드-120),Nicotiana Benthamiana r-(Dipeptide-98 s-Streptococcus sp. Polypeptide-1 sh-Polypeptide-96 Oligopeptide-313 sh-Oligopeptide-4 Tetrapeptide-120),,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24809,효모/토란구근발효추출물,,,,피부컨디셔닝제(기타)
24808,페포호박수,,,,피부컨디셔닝제(기타)
24807,에스에이치-폴리펩타이드-179,sh-Polypeptide-179,,,피부컨디셔닝제(기타)
24806,에스에이치-폴리펩타이드-180,sh-Polypeptide-180,,,피부컨디셔닝제(기타)
24805,발삼코파이바수지오일,Copaifera Officinalis (Balsam Copaiba) Resin Oil,,,피부컨디셔닝제(기타)
24804,콜레스테릴석시노일올리고펩타이드-299,Cholesteryl Succinoyl Oligopeptide-299,,,피부컨디셔닝제(기타);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24803,락토바실러스/산삼배양근발효여과물,,,,피부컨디셔닝제(기타)
24801,백차추출물,Camellia Sinensis Leaf Extract,84650-60-2,,피부컨디셔닝제(기타)
24800,애기동백꽃추출물,,,,피부컨디셔닝제(기타)
24799,효모/쌀발효지게미추출물발효여과물,Saccharomyces/Rice Ferment (Sake) Lees Extract Ferment Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제)
24797,노루궁뎅이버섯균사체배양여과물,,,,피부컨디셔닝제(기타)
24796,모르켈라 섹스텔라타균사체배양여과물,,,,피부컨디셔닝제(기타)
24795,밀리타리스동충하초균사체,,,,피부컨디셔닝제(기타)
24794,잎새버섯균사체,,,,피부컨디셔닝제(기타)
24793,영지버섯균사체,,,,피부컨디셔닝제(기타)
24791,열대둥근마추출물,Dioscorea Alata Root Extract,,,피부컨디셔닝제(기타)
24790,두리안씨추출물,Durio Zibethinus Seed Extract,,,피부컨디셔닝제(기타)
24789,보리수나무열매추출물,Elaeagnus Umbellata Fruit Extract,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);보습제
24778,쌀배아소포,Oryza Sativa (Rice) Germ Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24777,제주조릿대잎/줄기수,,,,피부컨디셔닝제(기타)
24776,쉽싸리추출물,,,,피부컨디셔닝제(기타)
24774,파이오박터/트립토판/시나픽애씨드발효추출물,,,,피부컨디셔닝제(기타)
24773,아스퍼질러스/쌀발효여과물소포,Aspergillus/Rice Ferment Filtrate Vesicles,,,피부컨디셔닝제(기타)
24772,하이드록시에틸페녹시페닐설폰아미도메틸하이드록사믹애씨드,Hydroxyethyl Phenoxyphenylsulfonamidomethyl Hydroxamic Acid,,,피부컨디셔닝제(기타);피부보호제
24771,뽕나무껍질/잎/자작나무껍질/측백나무잎/약모밀/소엽잎/고삼뿌리/천궁뿌리/모과/허니서클/잇꽃꽃/병풀/수세미오이/감초뿌리수,,,,피부컨디셔닝제(기타)
24769,대장균추출물/에스알-(프롤리닐다이에스에이치-폴리펩타이드-145),Escherichia Coli Extract/sr-(Prolinyl Di sh-Polypeptide-145),,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24768,산수유씨추출물,,,,피부컨디셔닝제(기타)
24764,가지열매즙소포,Solanum Melongena (Eggplant) Fruit Juice Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제
24763,탱자즙소포,Poncirus Trifoliata Fruit Juice Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제
24762,헛개나무열매즙소포,Hovenia Dulcis Fruit Juice Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제
24761,감즙소포,Diospyros Kaki Fruit Juice Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제
24760,미나리잎/줄기즙소포,Oenanthe Javanica Leaf/Stem Juice Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제
24759,트라이펩타이드-146,Tripeptide-146,,,피부컨디셔닝제(기타)
24758,아세틸트라이펩타이드-146,Acetyl Tripeptide-146,3104463-59-1,,피부컨디셔닝제(기타)
24757,트라이펩타이드-150,Tripeptide-150,,,피부컨디셔닝제(기타)
24756,우산고로쇠수액,Acer Okamotoanum Sap,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부보호제;보습제;산화방지제
24755,4-에틸레조시놀,4-Ethylresorcinol,2896-60-8,,피부컨디셔닝제(기타)
24754,멀꿀싹추출물,Stauntonia Hexaphylla Sprout Extract,,,피부컨디셔닝제(기타);헤어컨디셔닝제
24752,사스레피나무잎추출물,Eurya Japonica Leaf Extract,,,피부컨디셔닝제(기타);피부보호제;산화방지제;헤어컨디셔닝제
24750,팔미토일에스에이치-옥타펩타이드-8글루타민에스피아마이드,Palmitoyl sh-Octapeptide-8 Glutamine SP Amide,,,피부컨디셔닝제(기타)
24749,고삼뿌리수,,,,피부컨디셔닝제(기타)
24748,락토바실러스/흑운모/일라이트발효여과물,Lactobacillus/Biotite/Illite Ferment Filtrate,,,피부컨디셔닝제(기타)
24747,다이펩타이드-88,Dipeptide-88,,,피부컨디셔닝제(기타)
24745,올리고펩타이드-69,Oligopeptide-69,,,피부컨디셔닝제(기타)
24744,헵타펩타이드-72,Heptapeptide-72,,,피부컨디셔닝제(기타);피부보호제;보습제;헤어컨디셔닝제
24743,바실러스/강낭콩씨가루발효여과물,Bacillus/Phaseolus Vulgaris Seed Powder Ferment Filtrate,,,피부컨디셔닝제(기타)
24742,락토코쿠스세포외소포,Lactococcus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부보호제
24741,아와푸히꽃수,,,,피부컨디셔닝제(기타)
24737,댕댕이나무열매수,Lonicera Caerulea Fruit Water,,,피부컨디셔닝제(기타);보습제;감미제
24736,아스퍼질러스/검은콩발효물,,,,피부컨디셔닝제(기타)
24735,효모/(아스퍼질러스/검은콩발효물)/흑미발효여과물,,,,피부컨디셔닝제(기타)
24733,에스에이치-폴리펩타이드-6K,,,,피부컨디셔닝제(기타)
24732,화살나무가지/줄기추출물,,,,피부컨디셔닝제(기타)
24730,에스에이치-폴리펩타이드-4K,,,,피부컨디셔닝제(기타)
24726,알-아스퍼질러스발효여과물가루,r-Aspergillus Ferment Filtrate Powder,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24725,잎새버섯균사체배양여과물,,,,피부컨디셔닝제(기타)
24724,밀리타리스동충하초균사체배양여과물,,,,피부컨디셔닝제(기타)
24723,락토바실러스/알로에베라잎즙가루발효여과물,Lactobacillus/Aloe Barbadensis Leaf Juice Powder Ferment Filtrate,,,피부컨디셔닝제(기타)
24720,바질허브오일,Ocimum Basilicum Herb Oil,"84775-71-3 (generic)
8015-73-4",,피부컨디셔닝제(기타);착향제
24719,테트라펩타이드-113,Tetrapeptide-113,,,피부컨디셔닝제(기타);피부보호제
24717,테트라펩타이드-150,Tetrapeptide-150,,,피부컨디셔닝제(기타)
24716,에이이이에이-에이이이에이,에이이이에이-에이이이에이,,,피부컨디셔닝제(기타)
24713,마이크로코쿠스/씨솔트발효용해추출여과물,Micrococcus/Sea Salt Ferment Lysate Extract Filtrate,,,피부컨디셔닝제(기타)
24712,스페인자스민꽃오일,Jasminum Grandiflorum (Jasmine) Flower Oil,,,피부컨디셔닝제(기타);향료
24710,알파-글라이코실아이소쿼시트린,Alpha-Glycosyl Isoquercitrin,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24707,효모/당유자껍질발효여과물,Saccharomyces/Citrus Maxima Peel Ferment Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제
24706,효모/당유자껍질발효추출물,Saccharomyces/Citrus Maxima Peel Ferment Extract,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제
24705,산수유열매/갯방풍꽃/잎/줄기추출물,Cornus Officinalis Fruit/Glehnia Littoralis Flower/Leaf/Stem Extract,,,피부컨디셔닝제(기타);산화제
24703,바실러스코아귤런스발효여과물,,,,피부컨디셔닝제(기타)
24702,노루궁뎅이버섯균사체,,,,피부컨디셔닝제(기타)
24701,에피데르미디박테리움 케라티니,Epidermidibacterium Keratini,,,피부컨디셔닝제(기타);피부보호제
24698,산수유열매소포,Cornus Officinalis Fruit Vesicles,,,피부컨디셔닝제(기타)
24696,호장근뿌리수,,,,피부컨디셔닝제(기타)
24694,포스포로티오에이트잠금트라이뉴클레익애씨드-2,Phosphorothioate Locked Tri Nucleic Acid-2,,,피부컨디셔닝제(기타)
24693,포스포로티오에이트디엔에이-3,Phosphorothioate DNA-3,,,피부컨디셔닝제(기타)
24692,포스포로티오에이트잠금트라이뉴클레익애씨드-1,Phosphorothioate Locked Tri Nucleic Acid-1,,,피부컨디셔닝제(기타)
24691,소듐포스포로티오에이트잠금트라이뉴클레익애씨드-1포스포로티오에이트디엔에이-3포스포로티오에이트잠금트라이뉴클레익애씨드-2,Sodium Phosphorothioate Locked Tri Nucleic Acid-1 Phosphorothioate DNA-3 Phosphorothioate Locked Tri Nucleic Acid-2,,,피부컨디셔닝제(기타)
24689,올리고펩타이드-227,Oligopeptide-227,,,피부컨디셔닝제(기타)
24688,아세틸올리고펩타이드-227아마이드,Acetyl Oligopeptide-227 Amide,,,피부컨디셔닝제(기타)
24686,로시글리타존말리에이트,Rosiglitazone Maleate,155141-29-0,,피부컨디셔닝제(기타);피부보호제
24685,스타퓔로코쿠스 카피티스발효여과물,Staphylococcus Capitis Ferment Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24684,하이드롤라이즈드해삼몸체,,,,피부컨디셔닝제(기타)
24683,에탄올아미노에톡시아이소류실메톡시피이지-16아미노폴리포스파젠,Ethanolamino Ethoxyisoleucyl Methoxy PEG-16 Amino Polyphosphazene,,,피부컨디셔닝제(기타)
24682,모르켈라 섹스텔라타균사체,,,,피부컨디셔닝제(기타)
24680,사탕수수즙추출물,Saccharum Officinarum (Sugarcane) Juice Extract,91722-22-4,,피부컨디셔닝제(기타);체취방지제
24679,락토바실러스추출여과물,Lactobacillus Extract Filtrate,,,피부컨디셔닝제(기타)
24676,징크비스-메틸이미다졸,Zinc Bis-Methylimidazole,59061-53-9,,피부컨디셔닝제(기타);피부보호제
24674,칼슘포스포실리케이트,Calcium Phosphosilicate,,,피부컨디셔닝제(기타)
24673,트레멜라스틴,Tremellastin,,,피부컨디셔닝제(기타);피부보호제;산화방지제;헤어컨디셔닝제
24672,소듐디옥시콜로일다이펩타이드-92,Sodium Deoxycholoyl Dipeptide-92,,,피부컨디셔닝제(기타);피부보호제
24671,풍나무잎추출물,,,,피부컨디셔닝제(기타)
24670,락토바실러스/락티플란티바실러스/류코노스톡/페디오코쿠스용해여과물,,,,피부컨디셔닝제(기타)
24669,다이소듐사이티딘포스페이트,Disodium Cytidine Phosphate,6757-06-8,,피부컨디셔닝제(기타);헤어컨디셔닝제
24668,리모늄 플렉수오숨추출물,Limonium Flexuosum Extract,,,피부컨디셔닝제(기타)
24667,에스알-(메티오닐에스에이치-폴리펩타이드-152에스에이치-올리고펩타이드-1헥사펩타이드-40),sr-(Methionyl sh-Polypeptide-152 sh-Oligopeptide-1  Hexapeptide-40),,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24666,락토바실러스/하이드롤라이즈드고구마추출물발효여과물,Lactobacillus/Hydrolyzed Ipomoea Batatas Extract Ferment Filtrate,,,피부컨디셔닝제(기타)
24665,귤박추출물,,,,피부컨디셔닝제(기타)
24664,서양인삼뿌리오일,Panax Quinquefolius Root Oil,,,피부컨디셔닝제(기타)
24663,소듐피리디닐메틸디옥시콜릴타우레이트,Sodium Pyridinylmethyl Deoxycholyl Taurate,2898508-50-2,,피부컨디셔닝제(기타)
24662,소듐테트라하이드로피라닐디옥시콜릴타우레이트,Sodium Tetrahydropyranyl Deoxycholyl Taurate,2898507-53-2,,피부컨디셔닝제(기타);피부보호제;헤어컨디셔닝제
24661,바실러스/튤립추출물발효여과물,Bacillus/Tulipa Gesneriana Extract Ferment Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24660,소듐사이클로헥실디옥시콜릴타우레이트,Sodium Cyclohexyl Deoxycholyl Taurate,2898506-30-2,,피부컨디셔닝제(기타)
24659,소듐벤질디옥시콜릴타우레이트,Sodium Benzyl Deoxycholyl Taurate,2898507-36-1,,피부컨디셔닝제(기타);피부보호제;헤어컨디셔닝제
24658,락토바실러스/미선나무잎추출물발효여과물,Lactobacillus/Abeliophyllum Distichum Leaf Extract Ferment Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제)
24657,프로폴리스수,Propolis Water,,,피부컨디셔닝제(기타)
24654,페퍼트리씨추출물,Schinus Molle Seed Extract,94334-31-3,,피부컨디셔닝제(기타)
24652,스트렙토코쿠스 인판티스,Streptococcus Infantis,,,피부컨디셔닝제(기타);피부보호제
24651,등갈퀴나물꽃/줄기/잎추출물,,,,피부컨디셔닝제(기타)
24650,에스알-(옥타펩타이드-65에스에이치-폴리펩타이드-47헥사펩타이드-40),sr-(Octapeptide-65 sh-Polypeptide-47 Hexapeptide-40),,,피부컨디셔닝제(기타)
24649,마테잎수,,,,피부컨디셔닝제(기타)
24648,치자나무열매,Gardenia Jasminoides Fruit,,,피부컨디셔닝제(기타)
24647,갈락토미세스/마테잎추출물발효여과물,,,,피부컨디셔닝제(기타)
24646,딸기꽃/줄기/잎,,,,피부컨디셔닝제(기타)
24645,마테잎소포,,,,피부컨디셔닝제(기타)
24644,매스틱잎세포외소포,Pistacia Lentiscus (Mastic) Leaf Extracellular Vesicles,,,피부컨디셔닝제(기타)
24643,확정세포배양액5K,,,,피부컨디셔닝제(기타)
24641,아세틸에스에이치-데카펩타이드-30에스피아마이드,Acetyl sh-Decapeptide-30 SP Amide,,,피부컨디셔닝제(기타)
24640,올리고펩타이드-305,Oligopeptide-305,,,피부컨디셔닝제(기타)
24639,아세틸에스에이치-올리고펩타이드-202에스피아마이드,Acetyl sh-Oligopeptide-202 SP Amide,,,피부컨디셔닝제(기타)
24637,락토바실러스/쇠비름발효여과물,,,,피부컨디셔닝제(기타)
24636,사탕무뿌리즙소포,Beta Vulgaris (Beet) Root Juice Vesicles,,,피부컨디셔닝제(기타)
24635,미선나무잎가루,Abeliophyllum Distichum Leaf Powder,,,피부컨디셔닝제(기타);피부보호제;보습제;감미제;헤어컨디셔닝제
24634,고구마덩이뿌리수,,,,피부컨디셔닝제(기타)
24633,눈개승마뿌리추출물,,,,피부컨디셔닝제(기타)
24632,병풀수,,,,피부컨디셔닝제(기타)
24631,락토바실러스/고구마추출물발효여과물,,,,피부컨디셔닝제(기타)
24630,팥배나무가지추출물,Sorbus Alnifolia Branch Extract,,,피부컨디셔닝제(기타)
24629,비자나무잎/해당화꽃추출물,,,,피부컨디셔닝제(기타)
24628,동백나무잎/닥풀꽃추출물,,,,피부컨디셔닝제(기타)
24627,들깨박추출물,,,,피부컨디셔닝제(기타)
24626,하이드롤라이즈드들깨박추출물,,,,피부컨디셔닝제(기타)
24625,배롱나무꽃소포,Lagerstroemia Indica Flower Vesicles,,,피부컨디셔닝제(기타)
24624,초피나무열매소포,Zanthoxylum Piperitum Fruit Vesicles,,,피부컨디셔닝제(기타)
24623,슈도지마 안타르크티카/산수유열매추출물발효여과물,Pseudozyma Antarctica/Cornus Officinalis Fruit Extract Ferment Filtrate,,,피부컨디셔닝제(기타)
24622,슈도지마 에피콜라/동백나무씨오일발효추출여과물,Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate,3069696-26-7,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);보습제;유화안정제;헤어컨디셔닝제
24621,프롤릴하이드록시프롤린,Prolyl Hydroxyproline,,,피부컨디셔닝제(기타)
24620,팔미토일에스에이치-헥사펩타이드-13세린에스피아마이드,Palmitoyl sh-Hexapeptide-13 Serine SP Amide,,,피부컨디셔닝제(기타)
24619,에스에이치-헥사펩타이드-2,sh-Hexapeptide-2,532-32-1,,피부컨디셔닝제(기타)
24618,바실러스/(카프릴릭/카프릭트라이글리세라이드)/티트리추출물발효추출여과물,Bacillus/(Caprylic/Capric Triglyceride)/Melaleuca Alternifolia Extract Ferment Extract Filtrate,,,피부컨디셔닝제(기타)
24616,하이드롤라이즈드참다랑어껍질추출물,Hydrolyzed Tuna Skin Extract,,,피부컨디셔닝제(기타)
24615,오징어먹물소포,Squid Ink Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부컨디셔닝제(보습제);피부보호제;보습제
24614,비파나무캘러스세포외소포,Eriobotrya Japonica Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부컨디셔닝제(보습제);피부보호제;보습제
24613,단삼캘러스세포외소포,Salvia Miltiorrhiza Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부컨디셔닝제(보습제);피부보호제;보습제
24612,자단선인장캘러스추출물,,,,피부컨디셔닝제(기타)
24611,에스에이치-폴리펩타이드-170,sh-Polypeptide-170,,,피부컨디셔닝제(기타)
24610,망태버섯/장미꽃발효여과물,Dictyophora Indusiata/Rosa Hybrid Flower Ferment Filtrate,,,피부컨디셔닝제(기타);피부보호제;보습제;헤어컨디셔닝제
24609,보리밥나무잎수,,,,피부컨디셔닝제(기타)
24608,병풀분열조직세포세포외소포,,,,피부컨디셔닝제(기타)
24607,카페오일다이펩타이드-17하이드록시프롤린,Caffeoyl Dipeptide-17 Hydroxyproline,,,피부컨디셔닝제(기타);피부보호제;산화방지제;헤어컨디셔닝제
24606,에스에이치-올리고펩타이드-135에스피,sh-Oligopeptide-135 SP,,올리고펩타이드-21K,피부컨디셔닝제(기타)
24603,확정세포배양액4K,,,,피부컨디셔닝제(기타)
24601,병풀프레닐플라보노이드,Centella Asiatica Prenylflavonoids,,,피부컨디셔닝제(기타)
24600,서양자두씨가루,Prunus Domestica Seed Powder,,,피부컨디셔닝제(기타)
24599,에스알-(데카펩타이드-63에스에이치-폴리펩타이드-148헥사펩타이드-40),sr-(Decapeptide-63 sh-Polypeptide-148 Hexapeptide-40),,,피부컨디셔닝제(기타)
24597,쑥부쟁이추출물,Aster Yomena Extract,,,피부컨디셔닝제(기타);용제
24596,폴리하이드록시부티레이트,Polyhydroxybutyrate,"29435-48-1
26744-04-7",,피부컨디셔닝제(기타);연마제
24592,쇠물푸레나무잎추출물,,,,피부컨디셔닝제(기타)
24590,맥주효모세포외소포,,,,피부컨디셔닝제(기타)
24589,꽃여뀌잎/줄기오일,,,,피부컨디셔닝제(기타)
24588,병풀잎/줄기즙,Centella Asiatica Leaf/Stem Juice,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);보습제
24587,리질락토바실러스/병풀추출물발효여과물,,,,피부컨디셔닝제(기타)
24586,오미자박가루,Schisandra Chinensis Pomace Powder,,,피부컨디셔닝제(기타)
24585,오미자박추출물,Schisandra Chinensis Pomace Extract,,,피부컨디셔닝제(기타)
